FID,lat1,lon1,lat2,lon2
154,20.292,110.285,20.302,110.295
155,20.292,110.295,20.302,110.305
156,20.292,110.305,20.302,110.315
157,20.292,110.315,20.302,110.325
158,20.292,110.325,20.302,110.335
159,20.292,110.335,20.302,110.345
160,20.292,110.345,20.302,110.355
161,20.302,109.935,20.312,109.945
162,20.302,109.945,20.312,109.955
163,20.302,109.955,20.312,109.965
164,20.302,109.965,20.312,109.975
165,20.302,109.975,20.312,109.985
166,20.302,109.985,20.312,109.995
167,20.302,109.995,20.312,110.005
168,20.302,110.005,20.312,110.015
169,20.302,110.015,20.312,110.025
170,20.302,110.025,20.312,110.035
171,20.302,110.035,20.312,110.045
172,20.302,110.045,20.312,110.055
173,20.302,110.055,20.312,110.065
174,20.302,110.065,20.312,110.075
175,20.302,110.075,20.312,110.085
176,20.302,110.085,20.312,110.095
177,20.302,110.095,20.312,110.105
178,20.302,110.105,20.312,110.115
179,20.302,110.115,20.312,110.125
180,20.302,110.125,20.312,110.135
181,20.302,110.135,20.312,110.145
182,20.302,110.145,20.312,110.155
183,20.302,110.155,20.312,110.165
184,20.302,110.165,20.312,110.175
185,20.302,110.175,20.312,110.185
186,20.302,110.185,20.312,110.195
187,20.302,110.195,20.312,110.205
188,20.302,110.205,20.312,110.215
189,20.302,110.215,20.312,110.225
190,20.302,110.225,20.312,110.235
191,20.302,110.235,20.312,110.245
192,20.302,110.245,20.312,110.255
193,20.302,110.255,20.312,110.265
194,20.302,110.265,20.312,110.275
195,20.302,110.275,20.312,110.285
196,20.302,110.285,20.312,110.295
197,20.302,110.295,20.312,110.305
198,20.302,110.305,20.312,110.315
199,20.302,110.315,20.312,110.325
200,20.302,110.325,20.312,110.335
201,20.302,110.335,20.312,110.345
202,20.302,110.345,20.312,110.355
203,20.302,110.355,20.312,110.365
204,20.302,110.365,20.312,110.375
205,20.302,110.385,20.312,110.395
206,20.302,110.395,20.312,110.405
207,20.312,109.925,20.322,109.935
208,20.312,109.935,20.322,109.945
209,20.312,109.945,20.322,109.955
210,20.312,109.955,20.322,109.965
211,20.312,109.965,20.322,109.975
212,20.312,109.975,20.322,109.985
213,20.312,109.985,20.322,109.995
214,20.312,109.995,20.322,110.005
215,20.312,110.005,20.322,110.015
216,20.312,110.015,20.322,110.025
217,20.312,110.025,20.322,110.035
218,20.312,110.035,20.322,110.045
219,20.312,110.045,20.322,110.055
220,20.312,110.055,20.322,110.065
221,20.312,110.065,20.322,110.075
222,20.312,110.075,20.322,110.085
223,20.312,110.085,20.322,110.095
224,20.312,110.095,20.322,110.105
225,20.312,110.105,20.322,110.115
226,20.312,110.115,20.322,110.125
227,20.312,110.125,20.322,110.135
228,20.312,110.135,20.322,110.145
229,20.312,110.145,20.322,110.155
230,20.312,110.155,20.322,110.165
231,20.312,110.165,20.322,110.175
232,20.312,110.175,20.322,110.185
233,20.312,110.185,20.322,110.195
234,20.312,110.195,20.322,110.205
235,20.312,110.205,20.322,110.215
236,20.312,110.215,20.322,110.225
237,20.312,110.225,20.322,110.235
238,20.312,110.235,20.322,110.245
239,20.312,110.245,20.322,110.255
240,20.312,110.255,20.322,110.265
241,20.312,110.265,20.322,110.275
242,20.312,110.275,20.322,110.285
243,20.312,110.285,20.322,110.295
244,20.312,110.295,20.322,110.305
245,20.312,110.305,20.322,110.315
246,20.312,110.315,20.322,110.325
247,20.312,110.325,20.322,110.335
248,20.312,110.335,20.322,110.345
249,20.312,110.345,20.322,110.355
250,20.312,110.355,20.322,110.365
251,20.312,110.365,20.322,110.375
252,20.312,110.375,20.322,110.385
253,20.312,110.385,20.322,110.395
254,20.312,110.395,20.322,110.405
255,20.312,110.405,20.322,110.415
256,20.322,109.925,20.332,109.935
257,20.322,109.935,20.332,109.945
258,20.322,109.945,20.332,109.955
259,20.322,109.955,20.332,109.965
260,20.322,109.965,20.332,109.975
