"πÿ¡™ID","Ã®∑Á±‡∫≈","÷–Œƒ√˚","”¢Œƒ√˚","‘§±® ±º‰( ¿ΩÁ ±)","‘§±® ±¥Œ£®–° ±£©","«ø∂»","Œ≥∂»","æ≠∂»","∑ÁÀŸ(m/s)","’Û∑Á£®m/s£©","∆¯—π£®∞Ÿ≈¡£©","“∆œÚ(∂»)","“∆ÀŸ(km/h)","6º∂∑Á»¶(km)","7º∂∑Á»¶(km)","8º∂∑Á»¶(km)","10º∂∑Á»¶(km)"
"TSID","TCID","TSCNAME","TSENAME","DDATETIME","LEADTIME","TCRANK","LATITUDE","LONGITUDE","WINDSPEED","GUST","PRESSURE","DIRECTION","SPEED","RR06","RR07","RR08","RR10"
"156","1521","≤ ∫Á","mujigae","2015-10-3 3:00:00","18","TY","19.80","111.50","40","50","960","291","20","480","370","260","130"
"156","1521","≤ ∫Á","mujigae","2015-10-3 3:00:00","24","TY","20.40","110.40","38","48","965","297","22","460","350","240","120"
"156","1521","≤ ∫Á","mujigae","2015-10-3 3:00:00","36","TY","21.50","108.80","35","45","970","306","17","430","320","210","100"
"156","1521","≤ ∫Á","mujigae","2015-10-3 3:00:00","48","TS","22.40","107.80","23","28","990","313","11","330","220","120",""
"156","1521","≤ ∫Á","mujigae","2015-10-3 3:00:00","60","TD","23.50","107.20","12","17","1004","333","11","","","",""
"156","1521","≤ ∫Á","mujigae","2015-10-3 6:00:00","06","TY","19.20","113.30","38","48","965","287","18","460","350","240","90"
"156","1521","≤ ∫Á","mujigae","2015-10-3 6:00:00","12","TY","19.50","112.20","40","50","960","285","20","480","370","260","100"
"156","1521","≤ ∫Á","mujigae","2015-10-3 6:00:00","18","STY","20","111.10","42","52","955","295","21","490","380","280","120"
"156","1521","≤ ∫Á","mujigae","2015-10-3 6:00:00","24","TY","20.60","110.10","38","48","965","302","20","460","350","240","90"
"156","1521","≤ ∫Á","mujigae","2015-10-3 6:00:00","36","TY","21.80","108.30","33","43","975","305","19","400","280","200","70"
"156","1521","≤ ∫Á","mujigae","2015-10-3 6:00:00","48","TS","22.40","107.70","18","23","996","316","7","280","170","",""
"156","1521","≤ ∫Á","mujigae","2015-10-3 6:00:00","60","TD","23.50","107.10","12","17","1004","332","11","","","",""
"156","1521","≤ ∫Á","mujigae","2015-10-3 9:00:00","06","TY","19.40","112.90","38","48","965","286","19","460","350","240","90"
"156","1521","≤ ∫Á","mujigae","2015-10-3 9:00:00","12","TY","19.80","111.90","40","50","960","289","18","480","370","260","100"
"156","1521","≤ ∫Á","mujigae","2015-10-3 9:00:00","18","TY","20.30","110.70","40","50","960","294","22","480","370","260","100"
"156","1521","≤ ∫Á","mujigae","2015-10-3 9:00:00","24","TY","21.10","109.60","38","48","965","310","23","460","350","240","90"
"156","1521","≤ ∫Á","mujigae","2015-10-3 9:00:00","36","STS","22.60","108.60","25","33","985","325","16","350","240","140",""
"156","1521","≤ ∫Á","mujigae","2015-10-3 9:00:00","48","TD","23.30","108.30","12","17","1004","343","7","","","",""
"156","1521","≤ ∫Á","mujigae","2015-10-3 12:00:00","06","TY","19.70","112.50","40","50","960","287","19","480","330","260","100"
"156","1521","≤ ∫Á","mujigae","2015-10-3 12:00:00","12","STY","20.10","111.50","42","52","955","290","18","490","350","280","120"
"156","1521","≤ ∫Á","mujigae","2015-10-3 12:00:00","18","TY","20.50","110.50","40","50","960","296","19","480","330","260","100"
"156","1521","≤ ∫Á","mujigae","2015-10-3 12:00:00","24","TY","21.40","109.60","35","45","970","315","22","430","300","210","60"
"156","1521","≤ ∫Á","mujigae","2015-10-3 12:00:00","36","TS","22.50","108.50","20","25","992","318","13","300","190","",""
"156","1521","≤ ∫Á","mujigae","2015-10-3 12:00:00","48","TD","23.50","108.10","12","17","1002","337","9","","","",""
"156","1521","≤ ∫Á","mujigae","2015-10-3 15:00:00","06","STY","19.90","111.90","50","65","945","289","17","500","350","260","120"
"156","1521","≤ ∫Á","mujigae","2015-10-3 15:00:00","12","STY","20.30","111","48","60","950","295","16","470","330","250","100"
"156","1521","≤ ∫Á","mujigae","2015-10-3 15:00:00","18","STY","20.70","110.30","42","52","960","301","15","440","300","220","80"
"156","1521","≤ ∫Á","mujigae","2015-10-3 15:00:00","24","TY","21.50","109.50","38","48","970","315","18","400","280","200","50"
"156","1521","≤ ∫Á","mujigae","2015-10-3 15:00:00","36","TS","22.60","108.50","20","25","995","319","10","250","190","",""
"156","1521","≤ ∫Á","mujigae","2015-10-3 15:00:00","48","TD","23.60","108.10","12","17","1002","339","10","","","",""
"156","1521","≤ ∫Á","mujigae","2015-10-3 18:00:00","06","STY","20.10","111.40","50","65","945","289","16","480","350","260","100"
"156","1521","≤ ∫Á","mujigae","2015-10-3 18:00:00","12","STY","20.40","110.80","45","55","955","297","11","460","320","240","90"
"156","1521","≤ ∫Á","mujigae","2015-10-3 18:00:00","18","TY","20.90","110.10","40","50","960","306","15","400","300","220","70"
"156","1521","≤ ∫Á","mujigae","2015-10-3 18:00:00","24","STS","21.70","109.40","30","38","980","320","19","320","250","200","40"
"156","1521","≤ ∫Á","mujigae","2015-10-3 18:00:00","36","TD","22.80","108.40","16","21","998","319","13","","","",""
"156","1521","≤ ∫Á","mujigae","2015-10-3 18:00:00","48","TD","23.90","108","12","17","1002","341","10","","","",""
"156","1521","≤ ∫Á","mujigae","2015-10-3 21:00:00","06","STY","20.70","111","50","65","945","305","18","470","330","250","100"
"156","1521","≤ ∫Á","mujigae","2015-10-3 21:00:00","12","STY","21.20","109.90","42","52","960","297","8","400","300","200","70"
"156","1521","≤ ∫Á","mujigae","2015-10-3 21:00:00","18","TY","21.70","109.10","35","45","975","295","16","320","250","150","50"
"156","1521","≤ ∫Á","mujigae","2015-10-3 21:00:00","24","TS","22.40","108.30","23","28","990","310","19","250","200","100",""
"156","1521","≤ ∫Á","mujigae","2015-10-3 21:00:00","36","TD","22.90","107.90","12","17","1004","329","6","","","",""
"156","1521","≤ ∫Á","mujigae","2015-10-4 0:00:00","06","STY","21","110.60","50","65","960","301","20","460","330","280","150"
"156","1521","≤ ∫Á","mujigae","2015-10-4 0:00:00","12","TY","21.60","109.60","40","50","970","302","20","420","270","200","110"
"156","1521","≤ ∫Á","mujigae","2015-10-4 0:00:00","18","TS","22.20","108.80","23","28","970","310","17","330","200","120",""
"156","1521","≤ ∫Á","mujigae","2015-10-4 0:00:00","24","TD","22.80","108.20","15","20","992","316","15","","","",""
"156","1521","≤ ∫Á","mujigae","2015-10-4 0:00:00","36","TD","23.50","107.80","12","17","1002","333","6","","","",""
"156","1521","≤ ∫Á","mujigae","2015-10-4 3:00:00","06","STY","21.60","110.20","45","55","950","312","19","430","300","250","100"
"156","1521","≤ ∫Á","mujigae","2015-10-4 3:00:00","12","TY","22.10","109.30","33","43","975","300","18","380","250","200","80"
"156","1521","≤ ∫Á","mujigae","2015-10-4 3:00:00","18","TS","22.60","108.60","23","28","990","307","15","300","170","120",""
"156","1521","≤ ∫Á","mujigae","2015-10-4 3:00:00","24","TD","23.20","108.10","15","20","1000","322","14","","","",""
"156","1521","≤ ∫Á","mujigae","2015-10-4 3:00:00","36","TD","24.60","108","12","17","1004","355","13","","","",""
"156","1521","≤ ∫Á","mujigae","2015-10-4 6:00:00","06","STY","21.60","109.50","42","52","955","297","19","420","300","240","100"
"156","1521","≤ ∫Á","mujigae","2015-10-4 6:00:00","12","STS","22.20","108.50","30","38","980","302","20","400","240","180","80"
"156","1521","≤ ∫Á","mujigae","2015-10-4 6:00:00","18","TS","22.70","107.90","20","25","995","311","13","300","180","",""
"156","1521","≤ ∫Á","mujigae","2015-10-4 6:00:00","24","TD","23.40","107.60","15","20","1000","338","14","","","",""
"156","1521","≤ ∫Á","mujigae","2015-10-4 6:00:00","36","TD","24.80","107.60","12","17","1004","360","13","","","",""
"156","1521","≤ ∫Á","mujigae","2015-10-4 9:00:00","06","TY","21.90","109","33","43","975","292","19","360","250","180","60"
"156","1521","≤ ∫Á","mujigae","2015-10-4 9:00:00","12","TS","22.50","108.40","23","28","990","316","15","300","200","120",""
"156","1521","≤ ∫Á","mujigae","2015-10-4 9:00:00","18","TD","23.10","108","15","20","1000","328","13","","","",""
"156","1521","≤ ∫Á","mujigae","2015-10-4 9:00:00","24","TD","23.70","107.90","13","18","1004","358","10","","","",""
"156","1521","≤ ∫Á","mujigae","2015-10-4 12:00:00","06","STS","22.20","108.90","28","36","985","302","14","300","170","120",""
"156","1521","≤ ∫Á","mujigae","2015-10-4 12:00:00","12","TS","22.70","108.20","23","28","990","307","14","280","120","100",""
"156","1521","≤ ∫Á","mujigae","2015-10-4 12:00:00","18","TD","23.20","107.70","14","19","1002","312","10","","","",""
"156","1521","≤ ∫Á","mujigae","2015-10-4 12:00:00","24","TD","23.60","108","12","17","1005","25","8","","","",""
"156","1521","≤ ∫Á","mujigae","2015-10-5 0:00:00","06","TD","23.80","107.90","16","21","1007","327","13","","","",""
