TSID,TCID,TSCNAME,TSENAME,DDATETIME,LEADTIME,TCRANK,LATITUDE,LONGITUDE,WINDSPEED,GUST,PRESSURE,DIRECTION,SPEED,RR06,RR07,RR08,RR10
117,1417,????,KALMAEGI,9/13/2014 6:00,96,STS,22.1,106.3,30,38,980,289,26,380,280,160,60
117,1417,????,KALMAEGI,9/13/2014 6:00,120,TD,23.2,101,12,17,1004,283,23,,,,
117,1417,????,KALMAEGI,9/13/2014 9:00,12,TY,16.4,125.1,40,50,960,308,22,460,350,240,120
117,1417,????,KALMAEGI,9/13/2014 9:00,24,STY,17.3,122.7,50,62,940,290,23,530,410,290,160
117,1417,????,KALMAEGI,9/13/2014 9:00,36,TY,18,119.9,40,50,960,282,25,460,350,240,120
117,1417,????,KALMAEGI,9/13/2014 9:00,48,STY,18.7,117.1,45,55,950,284,25,500,380,270,140
117,1417,????,KALMAEGI,9/13/2014 9:00,60,STY,19.7,113.8,50,62,940,289,29,530,410,290,160
117,1417,????,KALMAEGI,9/13/2014 9:00,72,STY,20.7,110.8,48,60,945,290,27,520,400,280,150
117,1417,????,KALMAEGI,9/13/2014 9:00,96,STS,22.3,106,28,36,984,291,21,380,270,170,
117,1417,????,KALMAEGI,9/13/2014 9:00,120,TD,23.1,100,12,16,1002,277,25,,,,
117,1417,????,KALMAEGI,9/13/2014 12:00,12,TY,16.5,124.9,40,50,960,307,22,460,350,240,120
117,1417,????,KALMAEGI,9/13/2014 12:00,24,STY,17.4,122.6,50,62,940,292,22,520,400,290,160
117,1417,????,KALMAEGI,9/13/2014 12:00,36,TY,18.1,119.7,40,50,960,284,26,460,350,240,120
117,1417,????,KALMAEGI,9/13/2014 12:00,48,STY,18.8,116.7,45,55,950,284,27,490,370,260,140
117,1417,????,KALMAEGI,9/13/2014 12:00,60,STY,19.8,113.7,50,62,940,287,28,520,400,290,160
117,1417,????,KALMAEGI,9/13/2014 12:00,72,TY,21,110.5,40,50,960,290,30,460,350,240,120
117,1417,????,KALMAEGI,9/13/2014 12:00,96,STS,22.5,104.8,25,33,989,286,25,350,240,140,
117,1417,????,KALMAEGI,9/13/2014 12:00,120,TD,23.2,99.5,12,18,1002,277,23,,,,
117,1417,????,KALMAEGI,9/13/2014 18:00,12,STY,17,123.8,48,60,945,299,22,500,380,270,140
117,1417,????,KALMAEGI,9/13/2014 18:00,24,STY,17.8,121.4,45,55,950,289,24,480,360,250,120
117,1417,????,KALMAEGI,9/13/2014 18:00,36,STY,18.6,118.4,42,52,955,286,28,460,340,230,100
117,1417,????,KALMAEGI,9/13/2014 18:00,48,STY,19.5,115.1,48,60,945,285,29,500,380,270,140
117,1417,????,KALMAEGI,9/13/2014 18:00,60,STY,20.5,111.8,50,62,940,287,30,520,400,290,160
117,1417,????,KALMAEGI,9/13/2014 18:00,72,TY,21.5,108.6,38,48,965,288,28,420,320,210,100
117,1417,????,KALMAEGI,9/13/2014 18:00,96,TS,22.6,104.4,20,25,996,285,20,300,190,,
117,1417,????,KALMAEGI,9/13/2014 18:00,120,TD,23.2,97.3,12,16,1002,275,26,,,,
117,1417,????,KALMAEGI,9/13/2014 21:00,12,STY,17.3,123.1,48,60,945,294,23,500,380,270,140
117,1417,????,KALMAEGI,9/13/2014 21:00,24,TY,18.3,120.2,40,50,960,291,23,450,330,220,90
117,1417,????,KALMAEGI,9/13/2014 21:00,36,STY,19.2,117.1,42,52,955,287,26,460,340,230,100
117,1417,????,KALMAEGI,9/13/2014 21:00,48,STY,20.1,114.1,45,55,950,287,27,480,360,250,120
117,1417,????,KALMAEGI,9/13/2014 21:00,60,STY,21,110.8,50,62,940,287,29,510,390,280,150
117,1417,????,KALMAEGI,9/13/2014 21:00,72,STS,21.9,108.1,28,36,984,289,24,360,250,150,
117,1417,????,KALMAEGI,9/13/2014 21:00,96,TD,22.9,101.7,16,20,1000,278,25,,,,
117,1417,????,KALMAEGI,9/14/2014 0:00,12,TY,17.8,121.5,35,45,970,293,30,400,300,180,80
117,1417,????,KALMAEGI,9/14/2014 0:00,24,TY,18.7,118.9,35,45,970,289,24,400,300,180,80
117,1417,????,KALMAEGI,9/14/2014 0:00,36,STY,19.8,115.6,42,52,955,289,30,450,340,240,120
117,1417,????,KALMAEGI,9/14/2014 0:00,48,STY,21,112.3,48,58,940,291,30,480,380,260,150
117,1417,????,KALMAEGI,9/14/2014 0:00,60,TY,21.8,109.2,35,45,970,285,28,400,300,180,80
117,1417,????,KALMAEGI,9/14/2014 0:00,72,STS,22.4,105.9,25,33,988,281,28,300,200,120,
117,1417,????,KALMAEGI,9/14/2014 0:00,96,TD,22.9,101.1,15,20,1000,278,20,,,,
117,1417,????,KALMAEGI,9/14/2014 3:00,12,TY,17.8,121.1,40,50,960,292,26,480,350,250,120
117,1417,????,KALMAEGI,9/14/2014 3:00,24,TY,18.7,118.4,40,50,960,289,25,480,350,250,120
117,1417,????,KALMAEGI,9/14/2014 3:00,36,STY,19.9,115,42,52,955,289,30,500,360,260,130
117,1417,????,KALMAEGI,9/14/2014 3:00,48,STY,21.1,111.8,45,55,950,292,30,520,380,280,150
117,1417,????,KALMAEGI,9/14/2014 3:00,60,TY,22,108.6,38,48,965,287,29,460,340,240,110
117,1417,????,KALMAEGI,9/14/2014 3:00,72,TS,22.6,105.7,20,25,990,281,25,250,150,,
117,1417,????,KALMAEGI,9/14/2014 3:00,96,TD,23.2,100.4,16,21,1000,277,22,,,,
117,1417,????,KALMAEGI,9/14/2014 6:00,12,TY,18,120.5,33,43,975,289,27,430,300,200,90
117,1417,????,KALMAEGI,9/14/2014 6:00,24,TY,19,117.5,38,48,965,289,28,480,340,240,120
117,1417,????,KALMAEGI,9/14/2014 6:00,36,STY,20.2,114.4,42,52,955,290,28,500,360,260,140
117,1417,????,KALMAEGI,9/14/2014 6:00,48,STY,21.3,111.1,45,55,950,290,31,520,380,280,150
117,1417,????,KALMAEGI,9/14/2014 6:00,60,TY,22.1,108,38,48,965,286,27,480,340,240,120
117,1417,????,KALMAEGI,9/14/2014 6:00,72,TS,22.6,105.4,20,25,990,281,23,300,150,,
117,1417,????,KALMAEGI,9/14/2014 6:00,96,TD,23.2,100.1,16,21,1000,276,23,,,,
117,1417,????,KALMAEGI,9/14/2014 9:00,12,TY,18.6,119.5,38,48,965,285,29,450,320,220,100
117,1417,????,KALMAEGI,9/14/2014 9:00,24,STY,19.5,116.4,42,52,955,286,28,480,360,260,140
117,1417,????,KALMAEGI,9/14/2014 9:00,36,STY,20.6,112.9,45,55,950,288,31,500,380,280,150
117,1417,????,KALMAEGI,9/14/2014 9:00,48,TY,21.6,109.6,40,50,960,289,29,460,340,240,120
117,1417,????,KALMAEGI,9/14/2014 9:00,60,STS,22.3,106.8,25,33,985,285,24,350,250,140,
117,1417,????,KALMAEGI,9/14/2014 9:00,72,TD,22.8,103.9,16,21,1000,280,23,,,,
117,1417,????,KALMAEGI,9/14/2014 12:00,12,TY,18.8,118.7,38,48,965,288,29,450,320,220,100
117,1417,????,KALMAEGI,9/14/2014 12:00,24,STY,19.7,115.4,42,52,955,285,29,480,360,260,140
117,1417,????,KALMAEGI,9/14/2014 12:00,36,STY,20.7,112.1,45,55,950,289,30,500,380,280,150
117,1417,????,KALMAEGI,9/14/2014 12:00,48,TY,21.8,108.9,40,50,960,289,29,460,340,240,120
117,1417,????,KALMAEGI,9/14/2014 12:00,60,TS,22.4,105.9,23,28,985,283,26,300,200,100,
117,1417,????,KALMAEGI,9/14/2014 12:00,72,TD,22.9,103.3,16,21,1000,279,22,,,,
117,1417,????,KALMAEGI,9/14/2014 15:00,12,TY,19,117.8,38,48,965,287,30,450,320,220,100
117,1417,????,KALMAEGI,9/14/2014 15:00,24,STY,19.9,114.5,42,52,955,285,29,480,360,260,140
117,1417,????,KALMAEGI,9/14/2014 15:00,36,STY,20.9,111.3,48,58,945,287,29,500,380,280,160
