Id,glat,glon,lat1,lon1,lat2,lon2,vmax_gust,vmax_sust,gust_dur,sust_dur
76,20.277,110.28,20.272,110.275,20.282,110.285,55.10487462,36.98313733,930,480
77,20.277,110.29,20.272,110.285,20.282,110.295,55.01405926,36.92218742,915,480
78,20.277,110.3,20.272,110.295,20.282,110.305,55.02674803,36.93070337,915,480
79,20.277,110.31,20.272,110.305,20.282,110.315,55.15810548,37.01886274,930,480
80,20.277,110.32,20.272,110.315,20.282,110.325,55.11061224,36.98698808,930,495
81,20.277,110.33,20.272,110.325,20.282,110.335,55.21574163,37.05754472,930,495
82,20.287,109.94,20.282,109.935,20.292,109.945,53.31712532,35.78330558,810,390
83,20.287,109.95,20.282,109.945,20.292,109.955,52.97259779,35.55207905,810,390
84,20.287,109.96,20.282,109.955,20.292,109.965,52.62289145,35.31737681,825,375
85,20.287,109.97,20.282,109.965,20.292,109.975,52.2883266,35.09283664,795,375
86,20.287,109.98,20.282,109.975,20.292,109.985,52.95675803,35.54144834,810,375
87,20.287,110,20.282,109.995,20.292,110.005,53.76536741,36.0841392,810,360
88,20.287,110.01,20.282,110.005,20.292,110.015,54.42308431,36.52555994,795,360
89,20.287,110.03,20.282,110.025,20.292,110.035,53.88115008,36.16184569,825,375
90,20.287,110.06,20.282,110.055,20.292,110.065,53.27346894,35.754006,810,360
91,20.287,110.07,20.282,110.065,20.292,110.075,53.98644769,36.23251523,810,360
92,20.287,110.08,20.282,110.075,20.292,110.085,54.30544541,36.44660766,825,375
93,20.287,110.09,20.282,110.085,20.292,110.095,54.29445462,36.43923129,825,375
94,20.287,110.1,20.282,110.095,20.292,110.105,54.68078079,36.6985106,825,375
95,20.287,110.11,20.282,110.105,20.292,110.115,54.31672479,36.45417771,840,375
96,20.287,110.12,20.282,110.115,20.292,110.125,53.88049667,36.16140716,840,390
97,20.287,110.13,20.282,110.125,20.292,110.135,53.65242443,36.00833855,870,405
98,20.287,110.14,20.282,110.135,20.292,110.145,54.39998019,36.51005382,855,405
99,20.287,110.15,20.282,110.145,20.292,110.155,54.72320213,36.7269813,870,390
100,20.287,110.16,20.282,110.155,20.292,110.165,54.69325382,36.70688176,870,390
101,20.287,110.17,20.282,110.165,20.292,110.175,54.93326745,36.86796473,900,390
102,20.287,110.18,20.282,110.175,20.292,110.185,54.5246527,36.59372664,900,390
103,20.287,110.19,20.282,110.185,20.292,110.195,54.25929195,36.41563218,915,405
104,20.287,110.2,20.282,110.195,20.292,110.205,54.84305292,36.80741807,915,420
105,20.287,110.21,20.282,110.205,20.292,110.215,55.00598604,36.91676915,915,435
106,20.287,110.22,20.282,110.215,20.292,110.225,55.23154089,37.06814825,930,435
107,20.287,110.23,20.282,110.225,20.292,110.235,54.86902397,36.8248483,930,450
108,20.287,110.24,20.282,110.235,20.292,110.245,54.91010272,36.85241793,930,435
109,20.287,110.25,20.282,110.245,20.292,110.255,55.12752113,36.99833633,915,450
110,20.287,110.26,20.282,110.255,20.292,110.265,55.27216589,37.09541335,915,450
111,20.287,110.27,20.282,110.265,20.292,110.275,54.90560576,36.84939984,930,465
112,20.287,110.28,20.282,110.275,20.292,110.285,55.17213007,37.02827521,930,480
113,20.287,110.29,20.282,110.285,20.292,110.295,55.06992616,36.95968199,930,495
114,20.287,110.3,20.282,110.295,20.292,110.305,55.10245031,36.98151027,915,495
115,20.287,110.31,20.282,110.305,20.292,110.315,55.20157136,37.04803447,915,495
116,20.287,110.32,20.282,110.315,20.292,110.325,55.12107281,36.9940086,930,495
117,20.287,110.33,20.282,110.325,20.292,110.335,55.26036382,37.0874925,930,495
118,20.287,110.34,20.282,110.335,20.292,110.345,55.22969165,37.06690715,915,495
119,20.287,110.35,20.282,110.345,20.292,110.355,55.3121972,37.12228,915,480
120,20.297,109.94,20.292,109.935,20.302,109.945,53.65908609,36.01280945,825,375
121,20.297,109.95,20.292,109.945,20.302,109.955,53.31459018,35.78160415,810,375
122,20.297,109.96,20.292,109.955,20.302,109.965,52.94781198,35.53544428,810,375
123,20.297,109.97,20.292,109.965,20.302,109.975,52.59003673,35.29532666,825,375
124,20.297,109.98,20.292,109.975,20.302,109.985,52.81969808,35.4494618,810,375
125,20.297,109.99,20.292,109.985,20.302,109.995,53.55378963,35.94214069,810,375
