TSID,TSENAME,TSCNAME,DDATETIME,TCID,TCRANK,LATITUDE,LONGITUDE,WINDSPEED,GUST,PRESSURE,DIRECTION,SPEED,RR06,RR07,RR08,RR10
117,KALMAEGI,????,9/16/2014 10:00,1417,TY,20.8,109,40,,960,,,,400,,160
117,KALMAEGI,????,9/16/2014 11:00,1417,TY,21,108.8,40,,960,,,,400,,160
117,KALMAEGI,????,9/16/2014 12:00,1417,TY,21,108.5,40,50,960,294,29,480,400,280,160
117,KALMAEGI,????,9/16/2014 13:00,1417,TY,21.1,108.2,38,,965,,,,400,,160
117,KALMAEGI,????,9/16/2014 14:00,1417,TY,21.1,108.2,38,,965,,,,400,,160
117,KALMAEGI,????,9/16/2014 15:00,1417,TY,21.3,107.6,35,43,971,295,21,450,340,240,100
117,KALMAEGI,????,9/16/2014 18:00,1417,TY,21.7,106.7,33,43,975,295,30,460,380,250,150
117,KALMAEGI,????,9/16/2014 21:00,1417,STS,21.9,105.6,25,,988,,,,380,,
117,KALMAEGI,????,9/17/2014 0:00,1417,TS,22.1,104.8,20,,995,,,,,,
117,KALMAEGI,????,9/17/2014 3:00,1417,TS,22.2,104.1,18,,998,,,,,,
117,KALMAEGI,????,9/17/2014 6:00,1417,TD,22.5,103,16,,998,,,,,,
