Id,glat,glon,lat1,lon1,lat2,lon2,vmax_gust,vmax_sust,gust_dur,sust_dur
74,20.277,110.26,20.272,110.255,20.282,110.265,37.31226684,25.04178983,1155,480
75,20.277,110.27,20.272,110.265,20.282,110.275,37.38808034,25.09267137,1155,480
76,20.277,110.28,20.272,110.275,20.282,110.285,37.46240687,25.14255494,1140,480
77,20.277,110.29,20.272,110.285,20.282,110.295,37.5352041,25.19141215,1155,495
78,20.277,110.3,20.272,110.295,20.282,110.305,37.60642975,25.2392146,1155,495
79,20.277,110.31,20.272,110.305,20.282,110.315,37.67604161,25.28593397,1155,495
80,20.277,110.32,20.272,110.315,20.282,110.325,37.74399764,25.33154204,1155,510
81,20.277,110.33,20.272,110.325,20.282,110.335,37.81503351,25.37921712,1170,510
82,20.287,109.94,20.282,109.935,20.292,109.945,34.44275273,23.11594143,1050,330
83,20.287,109.95,20.282,109.945,20.292,109.955,34.54902885,23.18726768,1065,330
84,20.287,109.96,20.282,109.955,20.292,109.965,34.65478812,23.25824706,1065,345
85,20.287,109.97,20.282,109.965,20.292,109.975,34.76000321,23.32886121,1065,345
86,20.287,109.98,20.282,109.975,20.292,109.985,34.86464599,23.39909127,1065,360
87,20.287,110,20.282,109.995,20.292,110.005,35.0720984,23.53832107,1080,360
88,20.287,110.01,20.282,110.005,20.292,110.015,35.17484795,23.60728051,1080,360
89,20.287,110.03,20.282,110.025,20.292,110.035,35.37823783,23.74378378,1095,375
90,20.287,110.06,20.282,110.055,20.292,110.065,35.67755884,23.94467036,1095,390
91,20.287,110.07,20.282,110.065,20.292,110.075,35.77904731,24.01278343,1095,390
92,20.287,110.08,20.282,110.075,20.292,110.085,35.88215066,24.08198031,1110,390
93,20.287,110.09,20.282,110.085,20.292,110.095,35.98444926,24.15063709,1110,390
94,20.287,110.1,20.282,110.095,20.292,110.105,36.08590677,24.21872938,1110,405
95,20.287,110.11,20.282,110.105,20.292,110.115,36.18648602,24.28623223,1110,405
96,20.287,110.12,20.282,110.115,20.292,110.125,36.28614902,24.35312015,1125,405
97,20.287,110.13,20.282,110.125,20.292,110.135,36.38382628,24.41867535,1110,405
98,20.287,110.14,20.282,110.135,20.292,110.145,36.47696273,24.48118304,1110,420
99,20.287,110.15,20.282,110.145,20.292,110.155,36.56913822,24.54304579,1110,420
100,20.287,110.16,20.282,110.155,20.292,110.165,36.66031408,24.60423764,1125,420
101,20.287,110.17,20.282,110.165,20.292,110.175,36.75045095,24.66473218,1125,435
102,20.287,110.18,20.282,110.175,20.292,110.185,36.83950881,24.72450256,1125,435
103,20.287,110.19,20.282,110.185,20.292,110.195,36.92744703,24.7835215,1125,435
104,20.287,110.2,20.282,110.195,20.292,110.205,37.01422441,24.84176135,1125,450
105,20.287,110.21,20.282,110.205,20.292,110.215,37.09979918,24.89919408,1140,450
106,20.287,110.22,20.282,110.215,20.292,110.225,37.1841291,24.95579134,1140,450
107,20.287,110.23,20.282,110.225,20.292,110.235,37.26717147,25.01152448,1140,465
108,20.287,110.24,20.282,110.235,20.292,110.245,37.3488832,25.06636457,1140,465
109,20.287,110.25,20.282,110.245,20.292,110.255,37.42922087,25.12028247,1155,465
110,20.287,110.26,20.282,110.255,20.292,110.265,37.50814078,25.17324885,1155,480
111,20.287,110.27,20.282,110.265,20.292,110.275,37.58559901,25.22523423,1155,480
112,20.287,110.28,20.282,110.275,20.292,110.285,37.66155149,25.27620905,1155,480
113,20.287,110.29,20.282,110.285,20.292,110.295,37.73595409,25.32614368,1170,495
114,20.287,110.3,20.282,110.295,20.292,110.305,37.80876265,25.37500849,1170,495
115,20.287,110.31,20.282,110.305,20.292,110.315,37.8799331,25.42277389,1155,495
116,20.287,110.32,20.282,110.315,20.292,110.325,37.94942153,25.46941042,1155,510
117,20.287,110.33,20.282,110.325,20.292,110.335,38.01968044,25.51656406,1170,510
118,20.287,110.34,20.282,110.335,20.292,110.345,38.09365201,25.56620941,1170,510
119,20.287,110.35,20.282,110.345,20.292,110.355,38.16593919,25.61472429,1170,525
120,20.297,109.94,20.292,109.935,20.302,109.945,34.59769053,23.21992653,1050,345
121,20.297,109.95,20.292,109.945,20.302,109.955,34.70562882,23.29236833,1065,345
122,20.297,109.96,20.292,109.955,20.302,109.965,34.81306353,23.36447217,1065,345
123,20.297,109.97,20.292,109.965,20.302,109.975,34.91996681,23.43621933,1065,345
124,20.297,109.98,20.292,109.975,20.302,109.985,35.02631001,23.50759061,1065,360
125,20.297,109.99,20.292,109.985,20.302,109.995,35.13206367,23.57856622,1080,360
126,20.297,110,20.292,109.995,20.302,110.005,35.23719751,23.64912584,1080,360
127,20.297,110.01,20.292,110.005,20.302,110.015,35.34168042,23.7192486,1080,360
128,20.297,110.02,20.292,110.015,20.302,110.025,35.4454805,23.78891309,1080,375
129,20.297,110.03,20.292,110.025,20.302,110.035,35.54856501,23.85809732,1080,375
130,20.297,110.04,20.292,110.035,20.302,110.045,35.65090041,23.9267788,1095,375
131,20.297,110.05,20.292,110.045,20.302,110.055,35.75245234,23.99493446,1095,375
132,20.297,110.06,20.292,110.055,20.302,110.065,35.85318565,24.06254071,1095,390
133,20.297,110.07,20.292,110.065,20.302,110.075,35.95306441,24.12957343,1095,390
134,20.297,110.08,20.292,110.075,20.302,110.085,36.05800508,24.20000341,1110,390
135,20.297,110.09,20.292,110.085,20.302,110.095,36.16216481,24.26990927,1110,390
136,20.297,110.1,20.292,110.095,20.302,110.105,36.26549062,24.33925545,1110,405
137,20.297,110.11,20.292,110.105,20.302,110.115,36.36597814,24.40669674,1110,405
138,20.297,110.12,20.292,110.115,20.302,110.125,36.4627077,24.47161591,1125,405
139,20.297,110.13,20.292,110.125,20.302,110.135,36.55855591,24.53594356,1125,420
140,20.297,110.14,20.292,110.135,20.302,110.145,36.65348436,24.59965393,1125,420
141,20.297,110.15,20.292,110.145,20.302,110.155,36.74745388,24.66272073,1125,420
142,20.297,110.16,20.292,110.155,20.302,110.165,36.8404245,24.72511712,1110,420
143,20.297,110.17,20.292,110.165,20.302,110.175,36.93235552,24.78681579,1125,435
144,20.297,110.18,20.292,110.175,20.302,110.185,37.02320553,24.84778895,1125,435
145,20.297,110.19,20.292,110.185,20.302,110.195,37.11293242,24.90800834,1125,435
146,20.297,110.2,20.292,110.195,20.302,110.205,37.20149348,24.96744529,1125,450
147,20.297,110.21,20.292,110.205,20.302,110.215,37.28884537,25.02607072,1140,450
148,20.297,110.22,20.292,110.215,20.302,110.225,37.37494422,25.08385518,1140,450
149,20.297,110.23,20.292,110.225,20.302,110.235,37.45974566,25.1407689,1140,465
150,20.297,110.24,20.292,110.235,20.302,110.245,37.54320489,25.1967818,1140,465
151,20.297,110.25,20.292,110.245,20.302,110.255,37.6252767,25.25186356,1155,465
152,20.297,110.26,20.292,110.255,20.302,110.265,37.70591559,25.30598362,1155,480
153,20.297,110.27,20.292,110.265,20.302,110.275,37.78507578,25.35911126,1155,480
154,20.297,110.28,20.292,110.275,20.302,110.285,37.86271133,25.41121566,1155,480
155,20.297,110.29,20.292,110.285,20.302,110.295,37.93877617,25.46226588,1170,495
156,20.297,110.3,20.292,110.295,20.302,110.305,38.0132242,25.51223101,1170,495
157,20.297,110.31,20.292,110.305,20.302,110.315,38.08600939,25.56108013,1170,495
158,20.297,110.32,20.292,110.315,20.302,110.325,38.15708581,25.60878242,1170,510
159,20.297,110.33,20.292,110.325,20.302,110.335,38.22652901,25.65538859,1185,510
160,20.297,110.34,20.292,110.335,20.302,110.345,38.3022083,25.70618007,1170,510
161,20.297,110.35,20.292,110.345,20.302,110.355,38.37617715,25.75582359,1170,525
162,20.307,109.94,20.302,109.935,20.312,109.945,34.75315214,23.32426318,1050,345
163,20.307,109.95,20.302,109.945,20.312,109.955,34.86279019,23.39784577,1065,345
164,20.307,109.96,20.302,109.955,20.312,109.965,34.97193895,23.47109996,1065,345
165,20.307,109.97,20.302,109.965,20.312,109.975,35.08057006,23.54400675,1065,360
166,20.307,109.98,20.302,109.975,20.312,109.985,35.18865433,23.61654653,1065,360
167,20.307,109.99,20.302,109.985,20.312,109.995,35.29616171,23.68869914,1065,360
168,20.307,110,20.302,109.995,20.312,110.005,35.40306128,23.76044381,1080,360
169,20.307,110.01,20.302,110.005,20.312,110.015,35.50932125,23.83175923,1080,375
170,20.307,110.02,20.302,110.015,20.312,110.025,35.61490896,23.90262347,1080,375
171,20.307,110.03,20.302,110.025,20.312,110.035,35.71979091,23.97301403,1080,375
172,20.307,110.04,20.302,110.035,20.312,110.045,35.82393268,24.04290784,1095,375
173,20.307,110.05,20.302,110.045,20.312,110.055,35.92729904,24.11228124,1095,390
174,20.307,110.06,20.302,110.055,20.312,110.065,36.02985389,24.18110999,1095,390
175,20.307,110.07,20.302,110.065,20.312,110.075,36.13156027,24.24936931,1095,390
176,20.307,110.08,20.302,110.075,20.312,110.085,36.23487582,24.3187086,1110,390
177,20.307,110.09,20.302,110.085,20.312,110.095,36.33862464,24.38833868,1110,405
178,20.307,110.1,20.302,110.095,20.312,110.105,36.43882737,24.45558884,1110,405
179,20.307,110.11,20.302,110.105,20.312,110.115,36.53823062,24.52230243,1110,405
180,20.307,110.12,20.302,110.115,20.312,110.125,36.63679658,24.58845408,1110,405
181,20.307,110.13,20.302,110.125,20.312,110.135,36.73448651,24.65401779,1125,420
182,20.307,110.14,20.302,110.135,20.312,110.145,36.83126083,24.718967,1125,420
183,20.307,110.15,20.302,110.145,20.312,110.155,36.92707906,24.78327454,1125,420
184,20.307,110.16,20.302,110.155,20.312,110.165,37.02189993,24.8469127,1125,420
185,20.307,110.17,20.302,110.165,20.312,110.175,37.11568131,24.90985323,1140,435
186,20.307,110.18,20.302,110.175,20.312,110.185,37.20838035,24.97206735,1140,435
187,20.307,110.19,20.302,110.185,20.312,110.195,37.29995343,25.03352579,1140,435
188,20.307,110.2,20.302,110.195,20.312,110.205,37.39035623,25.09419881,1125,450
189,20.307,110.21,20.302,110.205,20.312,110.215,37.47954379,25.15405624,1140,450
190,20.307,110.22,20.302,110.215,20.312,110.225,37.56747055,25.21306749,1140,450
191,20.307,110.23,20.302,110.225,20.312,110.235,37.65409039,25.2712016,1140,465
192,20.307,110.24,20.302,110.235,20.312,110.245,37.73935668,25.32842731,1140,465
193,20.307,110.25,20.302,110.245,20.312,110.255,37.82322239,25.38471301,1155,465
194,20.307,110.26,20.302,110.255,20.312,110.265,37.90564009,25.44002691,1155,480
195,20.307,110.27,20.302,110.265,20.312,110.275,37.98656208,25.49433697,1155,480
196,20.307,110.28,20.302,110.275,20.312,110.285,38.06594041,25.54761101,1155,480
197,20.307,110.29,20.302,110.285,20.312,110.295,38.143727,25.59981678,1170,495
198,20.307,110.3,20.302,110.295,20.312,110.305,38.21987371,25.65092195,1170,495
199,20.307,110.31,20.302,110.305,20.312,110.315,38.2943324,25.70089423,1170,495
200,20.307,110.32,20.302,110.315,20.312,110.325,38.36705506,25.74970138,1170,510
201,20.307,110.33,20.302,110.325,20.312,110.335,38.43799386,25.79731132,1170,510
202,20.307,110.34,20.302,110.335,20.312,110.345,38.51309117,25.84771219,1185,510
203,20.307,110.35,20.302,110.345,20.312,110.355,38.58880438,25.89852643,1185,525
204,20.307,110.36,20.302,110.355,20.312,110.365,38.66272985,25.94814084,1185,525
205,20.307,110.37,20.302,110.365,20.312,110.375,38.73481699,25.99652147,1170,525
206,20.307,110.39,20.302,110.385,20.312,110.395,38.87327555,26.08944668,1185,540
207,20.307,110.4,20.302,110.395,20.312,110.405,38.93954771,26.13392464,1185,555
208,20.317,109.93,20.312,109.925,20.322,109.935,34.79731122,23.35390015,1065,345
209,20.317,109.94,20.312,109.935,20.322,109.945,34.90913359,23.42894872,1065,345
210,20.317,109.95,20.312,109.945,20.322,109.955,35.02050998,23.50369797,1080,345
211,20.317,109.96,20.312,109.955,20.322,109.965,35.13141244,23.57812915,1080,345
212,20.317,109.97,20.312,109.965,20.322,109.975,35.24181212,23.6522229,1080,360
213,20.317,109.98,20.312,109.975,20.322,109.985,35.35167928,23.72595925,1065,360
214,20.317,109.99,20.312,109.985,20.322,109.995,35.46098327,23.79931763,1065,360
215,20.317,110,20.312,109.995,20.322,110.005,35.56969254,23.87227687,1080,360
216,20.317,110.01,20.312,110.005,20.322,110.015,35.67777459,23.94481516,1080,375
217,20.317,110.02,20.312,110.015,20.322,110.025,35.78519603,24.01691009,1080,375
218,20.317,110.03,20.312,110.025,20.322,110.035,35.89192253,24.08853861,1080,375
219,20.317,110.04,20.312,110.035,20.322,110.045,35.99791885,24.15967708,1095,375
220,20.317,110.05,20.312,110.045,20.322,110.055,36.10314881,24.23030121,1095,405
221,20.317,110.06,20.312,110.055,20.322,110.065,36.20757534,24.30038614,1095,405
